date;bitcoin price in EUR
2013-04-28;103.19
2013-04-29;110.37
2013-04-30;106.31
2013-05-01;88.63
2013-05-02;80.59
2013-05-03;75.16
2013-05-04;86.23
2013-05-05;88.44
2013-05-06;85.58
2013-05-07;83.77
2013-05-08;86.56
2013-05-09;85.79
2013-05-10;90.06
2013-05-11;89.02
2013-05-12;88.40
2013-05-13;90.88
2013-05-14;85.85
2013-05-15;88.21
2013-05-16;91.58
2013-05-17;95.90
2013-05-18;96.00
2013-05-19;95.38
2013-05-20;94.99
2013-05-21;95.41
2013-05-22;95.99
2013-05-23;98.11
2013-05-24;102.99
2013-05-25;101.96
2013-05-26;103.22
2013-05-27;100.31
2013-05-28;99.75
2013-05-29;102.78
2013-05-30;99.62
2013-05-31;98.89
2013-06-01;99.39
2013-06-02;94.30
2013-06-03;92.96
2013-06-05;93.20
2013-06-06;90.91
2013-06-07;84.01
2013-06-08;81.61
2013-06-09;75.98
2013-06-10;80.51
2013-06-11;82.28
2013-06-12;81.76
2013-06-13;78.00
2013-06-14;74.83
2013-06-15;74.81
2013-06-16;74.87
2013-06-17;76.39
2013-06-18;80.36
2013-06-19;80.84
2013-06-20;83.57
2013-06-21;82.81
2013-06-22;82.30
2013-06-23;82.19
2013-06-24;77.81
2013-06-25;78.75
2013-06-26;79.43
2013-06-27;78.15
2013-06-28;72.62
2013-06-29;72.94
2013-06-30;74.93
2013-07-01;65.02
2013-07-02;67.13
2013-07-03;59.19
2013-07-04;59.78
2013-07-05;51.30
2013-07-06;52.06
2013-07-07;56.51
2013-07-08;58.11
2013-07-09;57.71
2013-07-10;66.00
2013-07-11;70.20
2013-07-12;67.62
2013-07-13;69.98
2013-07-14;69.17
2013-07-15;71.30
2013-07-16;71.04
2013-07-17;68.95
2013-07-18;65.11
2013-07-19;65.41
2013-07-20;65.21
2013-07-21;65.04
2013-07-22;65.50
2013-07-23;65.99
2013-07-24;66.25
2013-07-25;67.82
2013-07-26;68.43
2013-07-27;67.10
2013-07-28;69.36
2013-07-29;70.26
2013-07-30;72.61
2013-07-31;73.81
2013-08-01;72.52
2013-08-02;73.56
2013-08-03;72.86
2013-08-04;72.74
2013-08-05;72.97
2013-08-06;73.23
2013-08-07;72.89
2013-08-08;71.09
2013-08-09;69.81
2013-08-10;69.88
2013-08-11;70.58
2013-08-12;71.29
2013-08-13;73.62
2013-08-14;73.83
2013-08-15;73.56
2013-08-16;73.72
2013-08-17;74.69
2013-08-18;74.15
2013-08-19;76.75
2013-08-20;78.76
2013-08-21;83.11
2013-08-22;82.15
2013-08-23;80.51
2013-08-24;81.24
2013-08-25;83.55
2013-08-26;83.86
2013-08-27;87.84
2013-08-28;88.12
2013-08-29;88.74
2013-08-30;93.19
2013-08-31;97.95
2013-09-01;97.09
2013-09-02;96.49
2013-09-03;96.85
2013-09-04;91.35
2013-09-05;91.89
2013-09-06;88.33
2013-09-07;90.34
2013-09-08;88.49
2013-09-09;90.63
2013-09-10;91.57
2013-09-11;94.30
2013-09-12;94.57
2013-09-13;95.16
2013-09-14;93.31
2013-09-15;93.39
2013-09-16;93.75
2013-09-17;94.31
2013-09-18;93.69
2013-09-19;91.74
2013-09-20;90.86
2013-09-21;90.68
2013-09-22;90.64
2013-09-23;90.54
2013-09-24;90.93
2013-09-25;91.30
2013-09-26;91.50
2013-09-27;91.33
2013-09-28;92.25
2013-09-29;92.70
2013-09-30;91.02
2013-10-01;92.79
2013-10-02;73.56
2013-10-03;85.88
2013-10-04;89.40
2013-10-05;89.36
2013-10-06;89.73
2013-10-07;90.76
2013-10-08;91.60
2013-10-09;93.05
2013-10-10;92.95
2013-10-11;92.63
2013-10-12;93.41
2013-10-13;96.21
2013-10-14;98.10
2013-10-15;102.46
2013-10-16;101.55
2013-10-17;104.47
2013-10-18;109.29
2013-10-19;116.78
2013-10-20;119.17
2013-10-21;127.36
2013-10-22;133.64
2013-10-23;145.67
2013-10-24;132.73
2013-10-25;129.01
2013-10-26;127.43
2013-10-27;134.47
2013-10-28;136.22
2013-10-29;144.12
2013-10-30;141.66
2013-10-31;145.64
2013-11-01;146.57
2013-11-02;148.90
2013-11-03;153.31
2013-11-04;166.65
2013-11-05;177.61
2013-11-06;187.71
2013-11-07;211.14
2013-11-08;242.20
2013-11-09;251.46
2013-11-10;233.44
2013-11-11;248.09
2013-11-12;260.04
2013-11-13;291.56
2013-11-14;305.20
2013-11-15;303.18
2013-11-16;317.76
2013-11-17;352.95
2013-11-18;499.38
2013-11-19;400.29
2013-11-20;426.13
2013-11-21;516.20
2013-11-22;551.32
2013-11-23;572.91
2013-11-24;554.43
2013-11-25;575.96
2013-11-26;662.68
2013-11-27;698.61
2013-11-28;762.83
2013-11-29;824.37
2013-11-30;827.60
2013-12-01;696.77
2013-12-02;766.88
2013-12-03;786.30
2013-12-04;844.12
2013-12-05;762.11
2013-12-06;608.56
2013-12-07;506.74
2013-12-08;580.00
2013-12-09;653.74
2013-12-10;719.45
2013-12-11;640.73
2013-12-12;636.90
2013-12-13;653.68
2013-12-14;631.31
2013-12-15;640.33
2013-12-16;517.77
2013-12-17;496.60
2013-12-18;381.76
2013-12-19;511.25
2013-12-20;455.50
2013-12-21;445.34
2013-12-22;451.93
2013-12-23;491.39
2013-12-24;488.11
2013-12-25;502.37
2013-12-26;558.92
2013-12-27;543.05
2013-12-28;531.36
2013-12-29;541.18
2013-12-30;547.08
2013-12-31;550.84
2014-01-01;560.08
2014-01-02;591.39
2014-01-03;610.78
2014-01-04;632.12
2014-01-05;691.53
2014-01-06;697.96
2014-01-07;595.36
2014-01-08;633.42
2014-01-09;632.82
2014-01-10;647.23
2014-01-11;681.04
2014-01-12;638.82
2014-01-13;627.69
2014-01-14;622.95
2014-01-15;642.95
2014-01-16;622.31
2014-01-17;611.67
2014-01-18;623.20
2014-01-19;649.30
2014-01-20;642.47
2014-01-21;644.77
2014-01-22;637.75
2014-01-23;623.98
2014-01-24;603.27
2014-01-25;630.12
2014-01-26;643.41
2014-01-27;595.69
2014-01-28;610.76
2014-01-29;612.98
2014-01-30;624.04
2014-01-31;628.87
2014-02-01;632.40
2014-02-02;633.52
2014-02-03;626.08
2014-02-04;623.06
2014-02-05;606.53
2014-02-06;576.53
2014-02-07;515.99
2014-02-08;496.46
2014-02-09;500.71
2014-02-10;498.19
2014-02-11;490.85
2014-02-12;476.93
2014-02-13;437.46
2014-02-14;479.53
2014-02-15;471.34
2014-02-16;445.65
2014-02-17;453.45
2014-02-18;451.49
2014-02-19;449.75
2014-02-20;402.53
2014-02-21;414.15
2014-02-22;440.14
2014-02-23;440.07
2014-02-24;397.07
2014-02-25;389.01
2014-02-26;421.70
2014-02-27;420.62
2014-02-28;394.10
2014-03-01;408.45
2014-03-02;406.70
2014-03-03;481.32
2014-03-04;482.91
2014-03-05;481.79
2014-03-06;475.22
2014-03-07;451.04
2014-03-08;443.42
2014-03-09;456.33
2014-03-10;451.00
2014-03-11;453.88
2014-03-12;454.14
2014-03-13;460.13
2014-03-14;450.49
2014-03-15;455.50
2014-03-16;453.47
2014-03-17;446.13
2014-03-18;440.47
2014-03-19;440.47
2014-03-20;425.71
2014-03-21;413.80
2014-03-22;409.20
2014-03-23;407.04
2014-03-24;423.72
2014-03-25;421.15
2014-03-26;420.00
2014-03-27;347.94
2014-03-28;365.34
2014-03-29;358.61
2014-03-30;335.73
2014-03-31;332.89
2014-04-01;347.08
2014-04-02;317.82
2014-04-03;325.91
2014-04-04;327.55
2014-04-05;339.21
2014-04-06;336.25
2014-04-07;324.70
2014-04-08;326.53
2014-04-09;317.78
2014-04-10;259.83
2014-04-11;302.53
2014-04-12;302.96
2014-04-13;299.52
2014-04-14;331.13
2014-04-15;376.53
2014-04-16;383.02
2014-04-17;357.90
2014-04-18;346.19
2014-04-19;363.08
2014-04-20;359.96
2014-04-21;357.48
2014-04-22;350.89
2014-04-23;352.85
2014-04-24;357.35
2014-04-25;331.65
2014-04-26;328.03
2014-04-27;316.43
2014-04-28;315.42
2014-04-29;320.93
2014-04-30;320.90
2014-05-01;328.13
2014-05-02;319.70
2014-05-03;312.89
2014-05-04;312.75
2014-05-05;309.32
2014-05-06;306.43
2014-05-07;315.79
2014-05-08;316.06
2014-05-09;325.24
2014-05-10;328.93
2014-05-11;317.06
2014-05-12;319.23
2014-05-13;319.11
2014-05-14;323.94
2014-05-15;323.97
2014-05-16;325.02
2014-05-17;325.58
2014-05-18;324.30
2014-05-19;323.80
2014-05-20;352.87
2014-05-21;357.12
2014-05-22;382.69
2014-05-23;384.78
2014-05-24;383.77
2014-05-25;417.46
2014-05-26;424.81
2014-05-27;417.63
2014-05-28;419.83
2014-05-29;415.62
2014-05-30;455.60
2014-05-31;455.13
2014-06-01;469.55
2014-06-02;482.71
2014-06-03;489.73
2014-06-04;471.46
2014-06-05;481.65
2014-06-06;475.45
2014-06-07;477.69
2014-06-08;476.37
2014-06-09;473.71
2014-06-10;479.14
2014-06-11;465.55
2014-06-12;418.53
2014-06-13;439.24
2014-06-14;420.99
2014-06-15;431.06
2014-06-16;436.55
2014-06-17;448.20
2014-06-18;444.77
2014-06-19;436.08
2014-06-20;433.90
